4.0;1998-03-20;0
4.1;1998-04-03;13
4.2;1998-04-15;12
4.3;1998-04-30;15
4.4;1998-05-13;13
4.5;1998-05-30;17
4.5.1;1998-06-12;13
4.6;1998-07-03;21
4.7;1998-07-20;17
4.8;1998-07-30;10
4.8.1;1998-08-07;8
4.8.2;1998-08-14;7
4.8.3;1998-09-07;24
4.8.4;1998-09-20;13
4.9;1998-10-07;17
4.10;1998-10-26;19
5.0;1998-12-01;36
5.2;1998-12-14;13
5.2.1;1998-12-14;0
5.3;1998-12-21;7
5.4;1999-01-07;17
5.5;1999-01-15;8
5.5.1;1999-01-27;12
5.7;1999-04-20;82
5.7.1;1999-04-23;3
5.8;1999-05-05;12
5.9;1999-05-22;17
5.9.1;1999-07-30;69
5.10;1999-08-13;14
5.11;1999-08-25;12
6.0;1999-09-13;19
6.1;1999-10-17;34
6.2;1999-10-21;4
6.3;1999-11-10;20
6.3.1;1999-11-23;13
6.4;2000-01-17;55
6.5;2000-03-13;56
6.5.1;2000-03-20;7
6.5.2;2000-03-21;1
7.1;2000-08-07;138
7.1.1;2000-08-21;14
7.2;2000-08-30;9
7.2.1;2000-08-31;1
7.3;2000-09-28;28
7.4;2000-10-16;18
7.4.1;2000-10-16;0
7.4.2;2000-11-15;30
7.5;2000-12-01;16
7.5.1;2000-12-11;10
7.5.2;2001-01-04;24
7.6;2001-01-26;22
7.6.1;2001-02-09;14
7.7;2001-03-22;41
7.7.1;2001-04-03;11
7.7.2;2001-04-22;19
7.7.3;2001-05-04;12
7.8;2001-06-07;34
7.8.1;2001-08-20;74
7.9;2001-09-23;34
7.9.1;2001-11-04;42
7.9.2;2001-12-05;31
7.9.3;2002-01-23;49
7.9.4;2002-03-04;40
7.9.5;2002-03-07;3
7.9.6;2002-04-14;37
7.9.7;2002-05-10;26
7.9.8;2002-06-13;34
7.10;2002-10-01;110
7.10.1;2002-10-11;10
7.10.2;2002-11-18;38
7.10.3;2003-01-14;57
7.10.4;2003-04-02;77
7.10.5;2003-05-19;47
7.10.6;2003-07-28;70
7.10.7;2003-08-15;18
7.10.8;2003-11-01;78
7.11.0;2004-01-22;82
7.11.1;2004-03-19;57
7.11.2;2004-04-26;37
7.12.0;2004-06-02;37
7.12.1;2004-08-10;69
7.12.2;2004-10-18;69
7.12.3;2004-12-20;63
7.13.0;2005-02-01;43
7.13.1;2005-03-04;31
7.13.2;2005-04-04;30
7.14.0;2005-05-16;42
7.14.1;2005-09-01;108
7.15.0;2005-10-13;42
7.15.1;2005-12-07;55
7.15.2;2006-02-27;82
7.15.3;2006-03-20;21
7.15.4;2006-06-12;83
7.15.5;2006-08-07;56
7.16.0;2006-10-30;84
7.16.1;2007-01-29;91
7.16.2;2007-04-11;71
7.16.3;2007-06-25;75
7.16.4;2007-07-10;15
7.17.0;2007-09-13;65
7.17.1;2007-10-29;46
7.18.0;2008-01-28;91
7.18.1;2008-03-30;62
7.18.2;2008-06-04;65
7.19.0;2008-09-01;89
7.19.1;2008-11-05;65
7.19.2;2008-11-13;8
7.19.3;2009-01-19;67
7.19.4;2009-03-03;43
7.19.5;2009-05-18;75
7.19.6;2009-08-12;86
7.19.7;2009-11-04;84
7.20.0;2010-02-09;97
7.20.1;2010-04-14;63
7.21.0;2010-06-16;63
7.21.1;2010-08-11;56
7.21.2;2010-10-13;63
7.21.3;2010-12-15;63
7.21.4;2011-02-17;64
7.21.5;2011-04-17;58
7.21.6;2011-04-22;5
7.21.7;2011-06-23;62
7.22.0;2011-09-13;82
7.23.0;2011-11-15;63
7.23.1;2011-11-17;2
7.24.0;2012-01-24;68
7.25.0;2012-03-22;58
7.26.0;2012-05-24;62
7.27.0;2012-07-27;64
7.28.0;2012-10-10;75
7.28.1;2012-11-20;41
7.29.0;2013-02-06;78
7.30.0;2013-04-12;64
7.31.0;2013-06-22;71
7.32.0;2013-08-12;51
7.33.0;2013-10-14;63
7.34.0;2013-12-17;64
7.35.0;2014-01-29;43
7.36.0;2014-03-26;56
7.37.0;2014-05-21;55
7.37.1;2014-07-16;56
7.38.0;2014-09-10;56
7.39.0;2014-11-05;56
7.40.0;2015-01-08;64
7.41.0;2015-02-25;48
7.42.0;2015-04-22;55
7.42.1;2015-04-29;7
7.43.0;2015-06-17;49
7.44.0;2015-08-12;56
7.45.0;2015-10-07;56
7.46.0;2015-12-02;56
7.47.0;2016-01-27;56
7.47.1;2016-02-08;12
7.48.0;2016-03-23;44
7.49.0;2016-05-18;55
7.49.1;2016-05-30;12
7.50.0;2016-07-21;52
7.50.1;2016-08-03;13
7.50.2;2016-09-07;35
7.50.3;2016-09-14;7
7.51.0;2016-11-02;49
7.52.0;2016-12-21;49
7.52.1;2016-12-23;2
7.53.0;2017-02-22;61
7.53.1;2017-02-24;2
7.54.0;2017-04-19;53
7.54.1;2017-06-14;56
7.55.0;2017-08-09;56
7.55.1;2017-08-14;5
7.56.0;2017-10-04;51
7.56.1;2017-10-23;19
7.57.0;2017-11-29;37
7.58.0;2018-01-24;56
7.59.0;2018-03-14;49
7.60.0;2018-05-16;62
7.61.0;2018-07-11;56
7.61.1;2018-09-05;56
7.62.0;2018-10-31;56
7.63.0;2018-12-12;42
7.64.0;2019-02-06;56
7.64.1;2019-03-27;49
7.65.0;2019-05-22;55
7.65.1;2019-06-05;14
7.65.2;2019-07-17;42
7.65.3;2019-07-19;2
7.66.0;2019-09-11;54
7.67.0;2019-11-06;56
7.68.0;2020-01-08;63
7.69.0;2020-03-04;56
