1998-03-20;0
2000-10-13;1
2003-08-03;2
2005-02-21;3
2005-10-13;4
2005-12-07;5
2006-03-20;6
2007-07-10;7
2009-03-03;8
2009-08-12;9
2010-02-09;10
2010-10-13;11
2011-06-23;12
2012-01-24;14
2013-02-06;15
2013-04-12;16
2013-06-22;17
2013-11-15;18
2013-12-17;19
2014-01-29;20
2014-03-26;24
2014-09-10;26
2014-11-05;27
2015-01-08;29
2015-04-22;33
2015-04-29;34
2015-06-17;36
2016-01-27;38
2016-05-18;39
2016-05-30;40
2016-08-03;43
2016-09-07;44
2016-09-14;45
2016-11-02;56
2016-12-21;59
2016-12-23;60
2017-02-22;61
2017-04-03;62
2017-04-19;63
2017-06-14;64
2017-08-09;67
2017-10-04;68
2017-10-12;69
2017-11-29;72
2018-01-24;74
2018-03-14;77
2018-05-16;79
2018-07-11;80
2018-09-05;81
2018-10-31;84
2019-02-06;87
2019-05-22;89
2019-06-12;90
2019-09-11;92
2020-01-08;93
